metric,context_family,budget_kib,feasible_profile_count,global_profile,confirmation_frames,confirmation_trajectory_groups,action_change_fraction,mean_global_utility,mean_contextual_utility,mean_utility_lift,ci95_low,ci95_high,p_one_sided,enough_frames,enough_groups,p_holm,practical_reversal
utility_detection_only_frame,vulnerable_present,341.0,29,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00021814360666633464,0.0018163806560683262,0.09118176364727054,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,392.0,30,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0001946069844883584,0.0018509106062698703,0.09078184363127374,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,452.2,31,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00019604254998485454,0.001820940193181642,0.08258348330333934,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,565.6,32,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0002090847216143369,0.0018351883860566207,0.08698260347930414,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,598.1,33,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0002134488988587204,0.0018625882596428488,0.09458108378324336,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,759.7,34,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00022107711217315393,0.0018425234988866614,0.09798040391921616,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,784.8,35,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00022962694278507695,0.0018589736891656398,0.09718056388722256,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,1050.3,36,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00021530402592965362,0.0018465627193530617,0.08578284343131373,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,49.4,1,ae32__uint4__roi0.5,829,12,0.0,1.006772829731313,1.006772829731313,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,61.3,2,ae64__uint4__roi0.5,829,12,0.0,0.9988080264277094,0.9988080264277094,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,64.1,3,ae64__uint4__roi0.5,829,12,0.0,0.9988080264277094,0.9988080264277094,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,75.2,4,ae64__uint4__roi0.5,829,12,0.4499396863691194,0.9988080264277094,0.9983436516719182,-0.000464374755791424,-0.004091334961684648,0.0023387886792991417,0.6574685062987402,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,79.2,5,ae128__uint4__roi0.5,829,12,0.4499396863691194,1.0123369463988932,1.0079326649969422,-0.004404281401950837,-0.008530473937014574,-0.0007755202383639018,0.9946010797840432,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,90.0,6,ae128__uint4__roi0.5,829,12,0.4499396863691194,1.0123369463988932,1.0079326649969422,-0.004404281401950837,-0.00866859737062651,-0.000907153420364679,0.9962007598480304,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,94.2,7,ae128__uint4__roi0.5,829,12,0.4499396863691194,1.0123369463988932,1.0079326649969422,-0.004404281401950837,-0.00857704213879003,-0.0009865446464721594,0.9956008798240352,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,96.4,8,ae128__uint4__roi0.3,829,12,0.4499396863691194,1.0094744926313362,1.0071722546257709,-0.0023022380055652096,-0.0062685114846319666,0.002007712658139507,0.8614277144571085,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,101.1,9,ae128__uint4__roi0.3,829,12,0.4499396863691194,1.0094744926313362,1.0071722546257709,-0.0023022380055652096,-0.006345611158031873,0.001944917857379302,0.8602279544091181,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,117.9,10,ae128__uint4__roi0.3,829,12,0.4499396863691194,1.0094744926313362,1.0071722546257709,-0.0023022380055652096,-0.0064908304565724365,0.0017539942455185376,0.8662267546490702,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,122.7,11,ae128__uint4__roi0.3,829,12,0.4499396863691194,1.0094744926313362,1.0071722546257709,-0.0023022380055652096,-0.006323233253262681,0.0018786236777468802,0.8686262747450509,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,124.4,12,ae128__uint4__roi0.3,829,12,0.4499396863691194,1.0094744926313362,1.0071722546257709,-0.0023022380055652096,-0.006457534744941941,0.001830507681637564,0.8700259948010398,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,129.2,13,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008180910336600457,-0.0011700093834752555,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,148.6,14,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008330752504220322,-0.001188049175731482,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,153.9,15,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008227405324892006,-0.00120932561819951,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,154.6,16,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008376309372792457,-0.0011972033401761956,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,163.4,17,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00851395452603674,-0.001252757190171216,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,174.7,18,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008336410579826236,-0.0011795614135162434,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,192.8,19,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008277964946943482,-0.0011906062352156732,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,195.7,20,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008433488538789766,-0.0012053057559376374,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,200.6,21,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00855105638435025,-0.0011552300579232735,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,203.1,22,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008408013298651925,-0.0011751840348137035,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,228.6,23,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008534796667084251,-0.0012079377225939414,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,239.4,24,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00834883346990305,-0.001186742190939698,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,251.8,25,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00840753922883497,-0.0011815105644140639,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,260.9,26,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00837483851346974,-0.0011623004022701534,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,267.7,27,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008461420868616756,-0.0011635425777884003,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,289.0,28,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.00843875483609195,-0.001172489294668492,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,341.0,29,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008374764803001297,-0.001205295512711759,1.0,True,True,1.0,False
utility_detection_only_frame,reference_low_confidence_or_miss,392.0,30,ae128__uint4__roi0.0,829,12,0.4499396863691194,1.0120458422967156,1.0076415608947649,-0.004404281401950837,-0.008401333013682868,-0.001208005208918461,1.0,True,True,1.0,False
