model,quant,roi,profile,density_bin,frames,gt_objs,payload_kb,recall,precision,recall_veh,recall_ped,loc_m,fp_per_frame,pred_per_frame,transport_ms_derived
ae32,per_channel_uint4,0.7,ae32/u4/q0.7,1-2,1091,1579,33.9154,0.9284,0.5113,0.9506,0.8719,0.8134,1.2841,2.6279,1.376
ae32,per_channel_uint4,0.7,ae32/u4/q0.7,3-4,453,1528,34.4635,0.8894,0.5367,0.9043,0.8656,0.9753,2.5894,5.5894,1.381
ae32,per_channel_uint4,0.7,ae32/u4/q0.7,5+,135,792,33.9459,0.8371,0.5899,0.8782,0.7965,1.1068,3.4148,8.3259,1.376
ae32,per_channel_uint4,0.7,ae32/u4/q0.7,ALL,2162,3899,33.9478,0.8946,0.5323,0.9214,0.8484,0.9323,1.4177,3.031,1.377
ae32,per_channel_uint4,0.9,ae32/u4/q0.9,0,483,0,16.061,nan,0.0,nan,nan,nan,0.058,0.058,1.213
ae32,per_channel_uint4,0.9,ae32/u4/q0.9,1-2,1091,1579,16.6833,0.9272,0.5089,0.9524,0.8629,0.8067,1.2951,2.637,1.219
ae32,per_channel_uint4,0.9,ae32/u4/q0.9,3-4,453,1528,17.5068,0.8848,0.5361,0.9053,0.852,1.0074,2.5828,5.5673,1.227
ae32,per_channel_uint4,0.9,ae32/u4/q0.9,5+,135,792,16.8484,0.8333,0.5867,0.8655,0.8015,1.1313,3.4444,8.3333,1.22
ae32,per_channel_uint4,0.9,ae32/u4/q0.9,ALL,2162,3899,16.7271,0.8915,0.5305,0.9206,0.8414,0.9464,1.4228,3.0305,1.219
ae32,per_channel_uint4,0.98,ae32/u4/q0.98,0,483,0,6.774,nan,0.0,nan,nan,nan,0.0559,0.0559,1.129
ae32,per_channel_uint4,0.98,ae32/u4/q0.98,1-2,1091,1579,6.8999,0.9126,0.4952,0.9321,0.8629,0.8638,1.3465,2.6673,1.13
ae32,per_channel_uint4,0.98,ae32/u4/q0.98,3-4,453,1528,7.1417,0.8599,0.5294,0.8862,0.818,1.1357,2.5784,5.479,1.132
ae32,per_channel_uint4,0.98,ae32/u4/q0.98,5+,135,792,7.0534,0.8068,0.571,0.8147,0.799,1.2945,3.5556,8.2889,1.131
ae32,per_channel_uint4,0.98,ae32/u4/q0.98,ALL,2162,3899,6.9321,0.8705,0.5191,0.8959,0.8267,1.0502,1.4542,3.0241,1.13
ae32,per_channel_uint6,0.0,ae32/u6/q0,0,483,0,174.7955,nan,0.0,nan,nan,nan,0.0393,0.0393,2.662
ae32,per_channel_uint6,0.0,ae32/u6/q0,1-2,1091,1579,174.6988,0.9335,0.5168,0.9524,0.8854,0.7512,1.2631,2.6141,2.661
ae32,per_channel_uint6,0.0,ae32/u6/q0,3-4,453,1528,174.5945,0.8959,0.5472,0.9096,0.8741,0.9334,2.5011,5.5232,2.66
ae32,per_channel_uint6,0.0,ae32/u6/q0,5+,135,792,174.5901,0.8523,0.5916,0.8756,0.8291,1.0559,3.4519,8.4519,2.66
ae32,per_channel_uint6,0.0,ae32/u6/q0,ALL,2162,3899,174.6918,0.9023,0.5401,0.9238,0.8651,0.8806,1.3858,3.013,2.661
ae32,per_channel_uint6,0.3,ae32/u6/q0.3,0,483,0,124.5458,nan,0.0,nan,nan,nan,0.0373,0.0373,2.203
ae32,per_channel_uint6,0.3,ae32/u6/q0.3,1-2,1091,1579,124.4314,0.9329,0.5168,0.9524,0.8831,0.754,1.2621,2.6123,2.202
ae32,per_channel_uint6,0.3,ae32/u6/q0.3,3-4,453,1528,124.4093,0.894,0.5451,0.9085,0.8707,0.9303,2.5166,5.532,2.202
ae32,per_channel_uint6,0.3,ae32/u6/q0.3,5+,135,792,124.0252,0.8548,0.5908,0.8807,0.8291,1.0518,3.4741,8.4889,2.198
ae32,per_channel_uint6,0.3,ae32/u6/q0.3,ALL,2162,3899,124.427,0.9018,0.5393,0.9242,0.863,0.8798,1.3895,3.0157,2.202
ae32,per_channel_uint6,0.5,ae32/u6/q0.5,0,483,0,94.1406,nan,0.0,nan,nan,nan,0.0538,0.0538,1.926
ae32,per_channel_uint6,0.5,ae32/u6/q0.5,1-2,1091,1579,94.1186,0.9265,0.5073,0.9497,0.8674,0.7852,1.3025,2.6434,1.925
ae32,per_channel_uint6,0.5,ae32/u6/q0.5,3-4,453,1528,94.5557,0.8914,0.5327,0.9085,0.8639,0.968,2.638,5.6446,1.929
ae32,per_channel_uint6,0.5,ae32/u6/q0.5,5+,135,792,94.1079,0.8409,0.5791,0.8706,0.8116,1.1005,3.5852,8.5185,1.925
ae32,per_channel_uint6,0.5,ae32/u6/q0.5,ALL,2162,3899,94.2145,0.8954,0.5276,0.9214,0.8505,0.9167,1.4459,3.0606,1.926
ae32,per_channel_uint6,0.7,ae32/u6/q0.7,0,483,0,61.2287,nan,0.0,nan,nan,nan,0.0663,0.0663,1.625
ae32,per_channel_uint6,0.7,ae32/u6/q0.7,1-2,1091,1579,61.7535,0.9265,0.5071,0.9489,0.8697,0.7956,1.3034,2.6444,1.63
ae32,per_channel_uint6,0.7,ae32/u6/q0.7,3-4,453,1528,62.6471,0.8914,0.5375,0.9085,0.8639,0.9702,2.5872,5.5938,1.638
ae32,per_channel_uint6,0.7,ae32/u6/q0.7,5+,135,792,61.9901,0.8384,0.5789,0.868,0.809,1.0933,3.5778,8.4963,1.632
ae32,per_channel_uint6,0.7,ae32/u6/q0.7,ALL,2162,3899,61.8383,0.8948,0.5288,0.9206,0.8505,0.9204,1.438,3.0518,1.631
ae32,per_channel_uint6,0.9,ae32/u6/q0.9,0,483,0,26.5661,nan,0.0,nan,nan,nan,0.0538,0.0538,1.309
ae32,per_channel_uint6,0.9,ae32/u6/q0.9,1-2,1091,1579,27.3496,0.9303,0.5088,0.9515,0.8764,0.8025,1.2997,2.6462,1.316
ae32,per_channel_uint6,0.9,ae32/u6/q0.9,3-4,453,1528,28.4215,0.8855,0.535,0.9064,0.852,1.0026,2.596,5.5828,1.326
ae32,per_channel_uint6,0.9,ae32/u6/q0.9,5+,135,792,27.3894,0.8359,0.5782,0.868,0.804,1.1146,3.5778,8.4815,1.317
ae32,per_channel_uint6,0.9,ae32/u6/q0.9,ALL,2162,3899,27.4016,0.8936,0.5289,0.921,0.8463,0.9395,1.4352,3.0467,1.317
ae32,per_channel_uint6,0.98,ae32/u6/q0.98,0,483,0,9.5526,nan,0.0,nan,nan,nan,0.0559,0.0559,1.154
ae32,per_channel_uint6,0.98,ae32/u6/q0.98,1-2,1091,1579,9.6854,0.912,0.494,0.9339,0.8562,0.869,1.352,2.6719,1.155
ae32,per_channel_uint6,0.98,ae32/u6/q0.98,3-4,453,1528,10.0321,0.8573,0.5225,0.8819,0.818,1.1092,2.6424,5.5342,1.158
ae32,per_channel_uint6,0.98,ae32/u6/q0.98,5+,135,792,9.9189,0.8157,0.5727,0.8223,0.809,1.2755,3.5704,8.3556,1.157
ae32,per_channel_uint6,0.98,ae32/u6/q0.98,ALL,2162,3899,9.743,0.871,0.5163,0.8963,0.8274,1.039,1.4713,3.0421,1.156
ae32,per_channel_uint8,0.0,ae32/u8/q0,0,483,0,228.417,nan,0.0,nan,nan,nan,0.0393,0.0393,3.151
ae32,per_channel_uint8,0.0,ae32/u8/q0,1-2,1091,1579,228.6366,0.9335,0.515,0.9524,0.8854,0.7515,1.2722,2.6233,3.153
ae32,per_channel_uint8,0.0,ae32/u8/q0,3-4,453,1528,228.736,0.8953,0.5463,0.9106,0.8707,0.9272,2.5077,5.5276,3.154
ae32,per_channel_uint8,0.0,ae32/u8/q0,5+,135,792,229.0524,0.851,0.5892,0.8756,0.8266,1.0522,3.4815,8.4741,3.157
ae32,per_channel_uint8,0.0,ae32/u8/q0,ALL,2162,3899,228.6344,0.9018,0.5385,0.9242,0.863,0.8775,1.3936,3.0199,3.153
ae32,per_channel_uint8,0.3,ae32/u8/q0.3,0,483,0,163.3082,nan,0.0,nan,nan,nan,0.0393,0.0393,2.557
ae32,per_channel_uint8,0.3,ae32/u8/q0.3,1-2,1091,1579,163.371,0.9341,0.5161,0.9524,0.8876,0.7512,1.2676,2.6196,2.557
ae32,per_channel_uint8,0.3,ae32/u8/q0.3,3-4,453,1528,163.4946,0.8953,0.5452,0.9106,0.8707,0.9279,2.5188,5.5386,2.558
ae32,per_channel_uint8,0.3,ae32/u8/q0.3,5+,135,792,163.2772,0.8497,0.5888,0.8731,0.8266,1.0556,3.4815,8.4667,2.556
ae32,per_channel_uint8,0.3,ae32/u8/q0.3,ALL,2162,3899,163.377,0.9018,0.5385,0.9238,0.8637,0.8782,1.3936,3.0199,2.557
ae32,per_channel_uint8,0.5,ae32/u8/q0.5,0,483,0,122.3915,nan,0.0,nan,nan,nan,0.0518,0.0518,2.183
ae32,per_channel_uint8,0.5,ae32/u8/q0.5,1-2,1091,1579,122.6128,0.9259,0.5061,0.9497,0.8652,0.7877,1.308,2.648,2.185
ae32,per_channel_uint8,0.5,ae32/u8/q0.5,3-4,453,1528,123.318,0.892,0.5324,0.9117,0.8605,0.9674,2.6424,5.6512,2.192
ae32,per_channel_uint8,0.5,ae32/u8/q0.5,5+,135,792,122.9043,0.8396,0.5818,0.868,0.8116,1.0996,3.5407,8.4667,2.188
ae32,per_channel_uint8,0.5,ae32/u8/q0.5,ALL,2162,3899,122.7293,0.8951,0.5274,0.9222,0.8484,0.9173,1.4463,3.0606,2.187
