profile,family,quantizer,bit_width,q,q_e4,keep_count,zstd_level,frames,exact_round_trips,pre_zstd_median_bytes,pre_zstd_p95_bytes,compressed_median_bytes,compressed_p95_bytes,compressed_to_pre_zstd_ratio,compressed_ratio_relative_to_level1,compression_median_ms,compression_p95_ms,decompression_median_ms,decompression_p95_ms,compression_median_MBps,decompression_median_MBps
AE128_UINT4_q07000,AE128,UINT4,4,0.70,7000,6451,5,128,128,416628.0,416628.0,309108.0,313451.5,0.73901761,0.99783071,0.488893,0.989073,0.234600,0.256645,852.193,1775.908
AE128_UINT4_q09000,AE128,UINT4,4,0.90,9000,2150,1,128,128,141364.0,141364.0,107628.5,108974.5,0.76152184,1.00000000,0.099155,0.124307,0.085742,0.094986,1425.694,1648.714
AE128_UINT4_q09000,AE128,UINT4,4,0.90,9000,2150,3,128,128,141364.0,141364.0,107574.5,108914.4,0.76102114,0.99934250,0.120335,0.167740,0.084980,0.094421,1174.755,1663.497
AE128_UINT4_q09000,AE128,UINT4,4,0.90,9000,2150,5,128,128,141364.0,141364.0,107588.0,108931.9,0.76114311,0.99950266,0.137924,0.193555,0.084669,0.094262,1024.946,1669.608
AE128_UINT4_q09800,AE128,UINT4,4,0.98,9800,430,1,128,128,31284.0,31284.0,23429.0,23738.0,0.74808433,1.00000000,0.029292,0.034219,0.022388,0.025445,1067.987,1397.356
AE128_UINT4_q09800,AE128,UINT4,4,0.98,9800,430,3,128,128,31284.0,31284.0,23419.5,23731.0,0.74761934,0.99937842,0.033101,0.045091,0.020944,0.023199,945.108,1493.734
AE128_UINT4_q09800,AE128,UINT4,4,0.98,9800,430,5,128,128,31284.0,31284.0,23412.5,23706.5,0.74729220,0.99894111,0.040281,0.060522,0.020713,0.023097,776.644,1510.357
AE64_UINT8_q00000,AE64,UINT8,8,0.00,0,21504,1,128,128,1376818.0,1376818.0,1216783.5,1229092.8,0.88327273,1.00000000,0.885603,1.119988,0.838785,0.938744,1554.667,1641.444
AE64_UINT8_q00000,AE64,UINT8,8,0.00,0,21504,3,128,128,1376818.0,1376818.0,1214273.0,1228527.5,0.88106519,0.99750072,1.018261,1.337134,0.832494,0.937807,1352.126,1653.847
AE64_UINT8_q00000,AE64,UINT8,8,0.00,0,21504,5,128,128,1376818.0,1376818.0,1214247.0,1228133.2,0.88050575,0.99686736,1.401545,2.008962,0.814729,0.851783,982.357,1689.908
AE64_UINT8_q03000,AE64,UINT8,8,0.30,3000,15053,1,128,128,966642.0,966642.0,861835.0,867823.9,0.89179328,1.00000000,0.661121,0.739807,0.578221,0.654651,1462.126,1671.755
AE64_UINT8_q03000,AE64,UINT8,8,0.30,3000,15053,3,128,128,966642.0,966642.0,861635.0,867733.7,0.89159338,0.99977585,0.775941,0.939850,0.575323,0.652521,1245.768,1680.173
AE64_UINT8_q03000,AE64,UINT8,8,0.30,3000,15053,5,128,128,966642.0,966642.0,861581.5,867683.6,0.89158304,0.99976425,0.936468,1.176430,0.573056,0.648376,1032.222,1686.818
AE64_UINT8_q05000,AE64,UINT8,8,0.50,5000,10752,1,128,128,691378.0,691378.0,619096.0,623090.3,0.89569191,1.00000000,0.455026,0.495739,0.405200,0.471212,1519.427,1706.264
AE64_UINT8_q05000,AE64,UINT8,8,0.50,5000,10752,3,128,128,691378.0,691378.0,618936.5,623080.2,0.89555274,0.99984462,0.517525,0.679712,0.402174,0.463572,1335.937,1719.104
AE64_UINT8_q05000,AE64,UINT8,8,0.50,5000,10752,5,128,128,691378.0,691378.0,618876.5,622973.9,0.89544459,0.99972388,0.633541,0.847096,0.402869,0.462549,1091.292,1716.136
AE64_UINT8_q07000,AE64,UINT8,8,0.70,7000,6451,1,128,128,416114.0,416114.0,374058.5,376331.8,0.89912564,1.00000000,0.276738,0.319947,0.245642,0.282521,1503.639,1693.986
AE64_UINT8_q07000,AE64,UINT8,8,0.70,7000,6451,3,128,128,416114.0,416114.0,373931.5,376255.0,0.89885774,0.99970204,0.306024,0.418089,0.243850,0.279051,1359.741,1706.434
AE64_UINT8_q07000,AE64,UINT8,8,0.70,7000,6451,5,128,128,416114.0,416114.0,373886.0,376234.8,0.89876569,0.99959966,0.387840,0.537328,0.244054,0.278710,1072.900,1705.008
AE64_UINT8_q09000,AE64,UINT8,8,0.90,9000,2150,1,128,128,140850.0,140850.0,126305.0,126895.1,0.89668580,1.00000000,0.098028,0.111587,0.087236,0.101330,1436.834,1614.576
AE64_UINT8_q09000,AE64,UINT8,8,0.90,9000,2150,3,128,128,140850.0,140850.0,126245.0,126847.9,0.89619997,0.99945819,0.107942,0.138667,0.085411,0.099033,1304.868,1649.085
AE64_UINT8_q09000,AE64,UINT8,8,0.90,9000,2150,5,128,128,140850.0,140850.0,126258.0,126844.6,0.89635971,0.99963634,0.141817,0.190183,0.084993,0.098876,993.185,1657.186
AE64_UINT8_q09800,AE64,UINT8,8,0.98,9800,430,1,128,128,30770.0,30770.0,26127.0,26264.3,0.84912785,1.00000000,0.029624,0.033689,0.021000,0.024561,1038.703,1465.274
AE64_UINT8_q09800,AE64,UINT8,8,0.98,9800,430,3,128,128,30770.0,30770.0,26115.5,26249.9,0.84868962,0.99948390,0.032297,0.042054,0.020186,0.022552,952.720,1524.324
AE64_UINT8_q09800,AE64,UINT8,8,0.98,9800,430,5,128,128,30770.0,30770.0,26108.5,26238.9,0.84836971,0.99910715,0.040928,0.058421,0.019818,0.023114,751.808,1552.590
AE64_UINT6_q00000,AE64,UINT6,6,0.00,0,21504,1,128,128,1032756.0,1032756.0,957322.0,971739.3,0.91829968,1.00000000,0.782076,1.056566,0.610048,0.706717,1320.541,1692.908
AE64_UINT6_q00000,AE64,UINT6,6,0.00,0,21504,3,128,128,1032756.0,1032756.0,943845.0,972669.1,0.90565153,0.98622655,1.315299,1.916168,0.629175,0.697875,785.488,1641.445
AE64_UINT6_q00000,AE64,UINT6,6,0.00,0,21504,5,128,128,1032756.0,1032756.0,944191.0,971904.0,0.90517522,0.98570787,2.050473,3.252106,0.611850,0.665682,503.805,1687.922
