class_name,density,global_xy_error_m,gt_bbox_area_px,gt_depth_m,gt_distance_m,match_status,radar_support_points,sample_id,score
person,low,1.4448006175880874,19.660168911653436,90.35243877144828,99.899169921875,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000159_frame37245,0.7290134429931641
person,low,nan,17.184818334710755,94.7706661746646,103.89551544189453,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000159_frame37245,nan
person,low,nan,243.70508729468546,32.172825139778745,53.18680191040039,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000159_frame37245,nan
vehicle,low,0.11542417292330182,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000176_frame37279,0.8597869873046875
person,low,0.7255550087995971,17.76167767095798,94.43738295586692,103.18770599365234,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000176_frame37279,0.4334629774093628
person,low,nan,16.257418261786416,98.3506239111548,106.0677261352539,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000176_frame37279,nan
person,low,nan,324.8018546479203,30.047124487511958,56.35855484008789,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000176_frame37279,nan
person,low,0.07874922548854049,15.63036724874116,99.97961567642794,107.25707244873047,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000183_frame37293,0.30935391783714294
vehicle,low,0.24726137569071827,13125.576692591323,4.940804589082006,17.825542449951172,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000183_frame37293,0.842962920665741
person,low,1.4401054451005328,17.068501496273726,96.01624614173429,104.31462860107422,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000183_frame37293,0.49072256684303284
person,low,nan,357.01984434549934,29.35889506854855,57.47161102294922,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000183_frame37293,nan
vehicle,low,0.14623440808813246,13125.576692591323,4.940804589082006,17.825542449951172,tp,2.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000191_frame37309,0.9007131457328796
person,low,2.1515639691179884,16.319933496088094,97.82746575851607,105.63398742675781,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000191_frame37309,0.46276724338531494
person,low,nan,14.948629021732161,101.84064759651369,108.63863372802734,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000191_frame37309,nan
person,low,nan,357.01984434549934,29.35889506854855,57.47161102294922,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000191_frame37309,nan
vehicle,low,0.10633004936987296,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000214_frame37355,0.9093029499053955
person,low,0.2985982585737514,13.215406989869628,107.18696847989727,112.7327651977539,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000214_frame37355,0.4235765337944031
person,low,0.46569639877466207,14.395569286912437,103.07935718935336,109.6106185913086,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000214_frame37355,0.24783289432525635
person,low,1.9372191721236929,12.532809740458758,109.62809165812837,114.68333435058594,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000224_frame37375,0.45724546909332275
person,low,2.4735873510213726,13.649415233908734,105.38813536882098,111.42304992675781,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000224_frame37375,0.11059265583753586
person,low,0.9103649701634922,13.142293751509163,107.05497590026941,112.7654800415039,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000231_frame37389,0.509044885635376
person,low,nan,12.077073968413341,111.34073409921908,116.0730209350586,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000231_frame37389,nan
person,low,0.3500689730545035,12.750560113767545,108.41680125196592,113.87228393554688,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000237_frame37401,0.7475010752677917
person,low,2.3504067514133955,12.448683738472448,109.52540514082109,114.75540161132812,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000242_frame37411,0.5596068501472473
person,low,2.581611967270224,12.271602185238315,110.18369037813264,115.28724670410156,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000245_frame37417,0.4205677807331085
vehicle,low,0.8528902742331633,66.33672689536388,129.72224151736185,137.80809020996094,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000262_frame37451,0.10383673757314682
vehicle,low,0.7821704947615965,81.77530462849765,119.58525708194028,129.6958465576172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000269_frame37465,0.057635124772787094
vehicle,low,0.1970676350224831,135.1547496553405,99.35991244220412,115.4029541015625,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000285_frame37497,0.25676071643829346
