profile_id,trace_id,trace_step_index,target_snr_db,mapped_rfsim_command_db,scheduled_monotonic_ns,interval_end_monotonic_ns,command_send_monotonic_ns,command_send_wall_ns,command_ack_monotonic_ns,command_ack_wall_ns,command_latency_ms,command_timing_status,achieved_pusch_snr_count,achieved_pusch_snr_median_db,achieved_pusch_snr_p05_db,achieved_pusch_snr_p95_db,target_minus_achieved_error_db,mcs_median,application_sequence,application_message_count,application_send_ok_count,application_acked_count,application_delivery_ack_result,application_ack_latency_ms,application_ack_latencies_ms,ue_pdu_session_status
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,44,21.670348,-11.0,1665099884467951,1665099984467951,1665099884615483,1787450454821071078,1665099884703985,1787450454821159183,0.088502,ON_TIME,8,21.5,21.0,22.0,0.1703480000000006,26.0,135,1,1,1,ACKED,18.7347,18.734700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,45,23.596777,-11.75,1665099984467951,1665100084467951,1665099984617647,1787450454921073220,1665099984715909,1787450454921171125,0.098262,ON_TIME,8,23.0,22.5,23.5,0.5967769999999994,26.0,136,1,1,1,ACKED,19.3498,19.349800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,46,23.011524,-11.5,1665100084467951,1665100184467951,1665100084627067,1787450455021082556,1665100084718422,1787450455021173636,0.091355,ON_TIME,6,22.75,22.125,23.0,0.2615240000000014,26.0,137,1,1,1,ACKED,21.4842,21.484200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,47,21.598077,-11.0,1665100184467951,1665100284467951,1665100184600987,1787450455121056303,1665100184668076,1787450455121123287,0.067089,ON_TIME,8,22.0,21.174999999999997,22.65,-0.40192300000000003,27.0,138,1,1,1,ACKED,22.5466,22.546600,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,48,20.674702,-10.5,1665100284467951,1665100384467951,1665100284606202,1787450455221061529,1665100284712530,1787450455221167744,0.106328,ON_TIME,10,21.0,20.0,21.549999999999997,-0.3252980000000001,26.0,139,1,1,1,ACKED,20.6694,20.669400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,49,22.675031,-11.5,1665100384467951,1665100484467951,1665100384583612,1787450455321038928,1665100384667281,1787450455321122488,0.083669,ON_TIME,6,22.5,21.625,23.0,0.1750310000000006,26.0,140,1,1,1,ACKED,14.6022,14.602200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,50,20.582961,-10.5,1665100484467951,1665100584467951,1665100484602787,1787450455421058106,1665100484671303,1787450455421126500,0.068516,ON_TIME,6,21.0,20.25,21.875,-0.41703899999999905,26.0,141,1,1,1,ACKED,18.0231,18.023100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,51,22.552847,-11.5,1665100584467951,1665100684467951,1665100585011961,1787450455521467605,1665100585163385,1787450455521618690,0.151424,ON_TIME,8,22.5,22.0,23.0,0.052846999999999866,26.0,142,1,1,1,ACKED,19.9496,19.949600,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,52,21.631367,-11.0,1665100684467951,1665100784467951,1665100684632123,1787450455621087649,1665100684711154,1787450455621166349,0.079031,ON_TIME,8,21.75,21.0,22.0,-0.1186329999999991,26.0,143,1,1,1,ACKED,21.1647,21.164700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,53,20.60447,-10.5,1665100784467951,1665100884467951,1665100784711306,1787450455721166575,1665100784769542,1787450455721224743,0.058236,ON_TIME,6,21.0,20.125,21.0,-0.3955300000000008,26.0,144,1,1,1,ACKED,14.7411,14.741100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
