purpose,rfsim_command,commanded_noise_power_db,send_monotonic_ns,send_wall_ns,ack_monotonic_ns,ack_wall_ns,command_latency_ms,status,control_session_id,ran_epoch_id,upper_anchor_attempt,profile_id,trace_id,trace_step_index,scheduled_monotonic_ns,interval_end_monotonic_ns
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665099284582019,1787450454221037260,1665099284666764,1787450454221122048,0.084745,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,38,1665099284467951,1665099384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.75,-11.75,1665099384577935,1787450454321033141,1665099384647756,1787450454321102976,0.069821,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,39,1665099384467951,1665099484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.75,-11.75,1665099484564150,1787450454421019381,1665099484629870,1787450454421085081,0.06572,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,40,1665099484467951,1665099584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.0,-10.0,1665099584650123,1787450454521105693,1665099584743629,1787450454521198830,0.093506,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,41,1665099584467951,1665099684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665099684591605,1787450454621046921,1665099684666646,1787450454621121834,0.075041,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,42,1665099684467951,1665099784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665099784607802,1787450454721063137,1665099784678715,1787450454721133932,0.070913,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,43,1665099784467951,1665099884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665099884615483,1787450454821071078,1665099884703985,1787450454821159183,0.088502,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,44,1665099884467951,1665099984467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.75,-11.75,1665099984617647,1787450454921073220,1665099984715909,1787450454921171125,0.098262,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,45,1665099984467951,1665100084467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665100084627067,1787450455021082556,1665100084718422,1787450455021173636,0.091355,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,46,1665100084467951,1665100184467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665100184600987,1787450455121056303,1665100184668076,1787450455121123287,0.067089,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,47,1665100184467951,1665100284467951
