family,quant,sample_id,input_prediction_count,baseline_ms,selected_ms,paired_delta_ms
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002542_frame107278,4,0.001012,0.002027,0.001015
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002553_frame107300,3,0.000812,0.0017665,0.0009545
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002557_frame107308,5,0.001168,0.00303,0.0018620000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002570_frame107334,6,0.0013945,0.005459,0.0040645
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002571_frame107336,4,0.001071,0.0014925,0.0004215
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002572_frame107338,4,0.001077,0.001487,0.00041
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002573_frame107340,5,0.001166,0.0034995,0.0023335
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002581_frame107356,6,0.0014395,0.0048395,0.0034000000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002584_frame107362,10,0.0023725,0.0086785,0.006306000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002589_frame107372,10,0.0023415,0.010525,0.0081835
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002590_frame107374,8,0.001826,0.0065895,0.0047635
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002591_frame107376,10,0.002256,0.0070515,0.004795499999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002592_frame107378,11,0.002501,0.0114415,0.0089405
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002614_frame107422,5,0.0012275,0.002675,0.0014474999999999998
