block,family,valid,n,mu_mbps,effective_mu_mbps,demand,payload_bytes,onwire_bytes,allocation_envelope,allocation_efficiency,generated_demands,candidate_cell,allocation_aggregate_demand_mbps,allocation_aggregate_local_mbps,allocation_aggregate_central_mbps,allocation_worst_local_delivery_fraction,allocation_worst_central_delivery_fraction,allocation_central_throttles_any_below_local,local_goodput_mbps,central_goodput_mbps,local_worst_latency_p95_ms,central_worst_latency_p95_ms,local_worst_starvation_ms,central_worst_starvation_ms,deadline_lift_0.25_pp,deadline_lift_0.50_pp,latency_reduction_ms,starvation_reduction_ms,registered_meaningful_gap,pareto_safe
A,constant_ceiling,True,100,6.077408,6.077408,equal,132301,132409,ideal_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297283409629045,4.2387600947119175,13849.139747487206,15974.296673845172,24900.000000000175,40750.0,0.0,0.0,-2125.156926357966,-15849.999999999825,False,False
A,constant_ceiling,True,100,6.077408,6.077408,equal,132301,132409,measured_residual_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297283409629045,4.2387600947119175,13849.139747487206,15974.296673845172,24900.000000000175,40750.0,0.0,0.0,-2125.156926357966,-15849.999999999825,False,False
A,constant_ceiling,True,100,6.077408,6.077408,equal,409600,409852,ideal_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297619339538442,4.096952288665051,42930.48305771945,49529.508948551804,77100.00000000042,175200.0,0.0,0.0,-6599.025890832352,-98099.99999999958,False,False
A,constant_ceiling,True,100,6.077408,6.077408,equal,409600,409852,measured_residual_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297619339538442,4.096952288665051,42930.48305771945,49529.508948551804,77100.00000000042,175200.0,0.0,0.0,-6599.025890832352,-98099.99999999958,False,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,92160,92232,ideal_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2156582436260623,3.6809190254957507,4922.69624232604,3053.909653589194,46587.81596973898,118600.0,0.0,0.0,1868.7865887368462,-72012.18403026102,True,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,92160,92232,measured_residual_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2156582436260623,3.6809190254957507,4922.69624232604,3053.909653589194,46587.81596973898,118600.0,0.0,0.0,1868.7865887368462,-72012.18403026102,True,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,132301,132409,ideal_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2155254932912394,4.226219384372533,7003.254421286854,4339.2966738452005,66818.2640187718,99000.0,0.0,0.0,2663.9577474416537,-32181.735981228194,True,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,132301,132409,measured_residual_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2155254932912394,4.226219384372533,7003.254421286854,4339.2966738452005,66818.2640187718,99000.0,0.0,0.0,2663.9577474416537,-32181.735981228194,True,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,409600,409852,ideal_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2156986867270176,4.0885911615453265,21758.15335543095,13522.008948551711,206904.8058918197,453600.0,0.0,0.0,8236.144406879239,-246695.1941081803,True,False
A,constant_ceiling,True,100,6.077408,6.077408,hot20_traffic80,409600,409852,measured_residual_max_min,1.0,3200,False,6.68514880000002,2.1878668800000014,4.254185599999999,0.15909090909090903,0.5454545454545466,False,2.2156986867270176,4.0885911615453265,21758.15335543095,13522.008948551711,206904.8058918197,453600.0,0.0,0.0,8236.144406879239,-246695.1941081803,True,False
