wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787336315.424356,11.200206,112,0,25000,25000,0.100000,11.200000,0.111
1787336315.524356,11.300205,113,0,25000,25000,0.100000,11.300000,0.118
1787336315.624357,11.400206,114,0,25000,25000,0.100000,11.400000,0.118
1787336315.724358,11.500207,115,0,25000,25000,0.100000,11.500000,0.119
1787336315.824371,11.600221,116,0,25000,25000,0.100000,11.600000,0.132
1787336315.924388,11.700237,117,0,25000,25000,0.100000,11.700000,0.151
1787336316.024354,11.800203,118,0,25000,25000,0.100000,11.800000,0.116
1787336316.124424,11.900273,119,0,25000,25000,0.100000,11.900000,0.118
1787336316.224357,12.000206,120,0,25000,25000,0.100000,12.000000,0.117
1787336316.324355,12.100204,121,0,25000,25000,0.100000,12.100000,0.118
1787336316.424351,12.200200,122,0,25000,25000,0.100000,12.200000,0.118
1787336316.524361,12.300210,123,0,25000,25000,0.100000,12.300000,0.119
1787336316.624354,12.400204,124,0,25000,25000,0.100000,12.400000,0.117
1787336316.724439,12.500289,125,0,25000,25000,0.100000,12.500000,0.118
1787336316.824353,12.600203,126,0,25000,25000,0.100000,12.600000,0.116
1787336316.924373,12.700223,127,0,25000,25000,0.100000,12.700000,0.142
1787336317.024352,12.800201,128,0,25000,25000,0.100000,12.800000,0.116
1787336317.124353,12.900202,129,0,25000,25000,0.100000,12.900000,0.118
1787336317.224354,13.000203,130,0,25000,25000,0.100000,13.000000,0.117
1787336317.324354,13.100203,131,0,25000,25000,0.100000,13.100000,0.117
1787336317.424358,13.200207,132,0,25000,25000,0.100000,13.200000,0.117
1787336317.524356,13.300205,133,0,25000,25000,0.100000,13.300000,0.117
1787336317.624368,13.400217,134,0,25000,25000,0.100000,13.400000,0.115
1787336317.724369,13.500218,135,0,25000,25000,0.100000,13.500000,0.122
1787336317.824377,13.600226,136,0,25000,25000,0.100000,13.600000,0.128
1787336317.924503,13.700352,137,0,25000,25000,0.100000,13.700000,0.220
