plateau_index,commanded_noise_power_db,event_time_text,event_wall_ns_approx,rnti,frame,slot,instantaneous_pusch_snr_db,mcs,join_status
0,-10,11:25:11.787852,1787336711787852032,54415,207,18,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.788285,1787336711788284928,54415,207,19,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.791298,1787336711791297792,54415,208,7,19.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.791774,1787336711791773952,54415,208,8,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.792205,1787336711792205056,54415,208,9,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.795033,1787336711795033088,54415,208,17,19.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.795577,1787336711795577088,54415,208,18,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.868712,1787336711868711936,54415,218,8,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.876489,1787336711876488960,54415,219,7,19.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.876970,1787336711876969984,54415,219,8,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.877293,1787336711877293056,54415,219,9,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.879758,1787336711879757824,54415,219,17,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.880203,1787336711880203008,54415,219,18,19.5,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.880645,1787336711880645120,54415,219,19,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.883726,1787336711883725824,54415,220,7,19.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.884108,1787336711884108032,54415,220,8,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.964053,1787336711964052992,54415,230,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.979157,1787336711979156992,54415,232,7,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.982890,1787336711982889984,54415,232,17,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.986785,1787336711986785024,54415,233,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.987208,1787336711987207936,54415,233,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.987556,1787336711987556096,54415,233,9,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.990694,1787336711990694144,54415,233,17,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.991108,1787336711991107840,54415,233,18,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.991496,1787336711991496192,54415,233,19,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.994522,1787336711994522112,54415,234,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.994983,1787336711994982912,54415,234,8,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.068554,1787336712068553984,54415,244,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.075862,1787336712075862016,54415,245,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.076345,1787336712076345088,54415,245,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.076666,1787336712076666112,54415,245,9,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.079692,1787336712079691776,54415,245,17,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.080118,1787336712080118016,54415,245,18,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.080597,1787336712080596992,54415,245,19,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.083592,1787336712083591936,54415,246,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.084068,1787336712084068096,54415,246,8,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
