seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
327,2048,192.168.70.134,1787375518339661055,1590163403205104
328,2048,192.168.70.134,1787375518448299773,1590163511843820
329,2048,192.168.70.134,1787375518495609429,1590163559153483
330,2048,192.168.70.134,1787375518637964184,1590163701508072
331,2048,192.168.70.134,1787375518711793048,1590163775321524
332,2048,192.168.70.134,1787375518786766876,1590163850310839
333,2048,192.168.70.134,1787375518928932181,1590163992476103
334,2048,192.168.70.134,1787375519003385640,1590164066929770
335,2048,192.168.70.134,1787375519161892916,1590164225436883
336,2048,192.168.70.134,1787375519236768946,1590164300313149
337,2048,192.168.70.134,1787375519310877943,1590164374422110
338,2048,192.168.70.134,1787375519446371569,1590164509915483
339,2048,192.168.70.134,1787375519520610283,1590164584154195
340,2048,192.168.70.134,1787375519594901631,1590164658445876
341,2048,192.168.70.134,1787375519737218324,1590164800762169
342,2048,192.168.70.134,1787375519812507760,1590164876051791
343,2048,192.168.70.134,1787375519886423161,1590164949966967
344,2048,192.168.70.134,1787375520029191043,1590165092735274
345,2048,192.168.70.134,1787375520103812425,1590165167356272
346,2048,192.168.70.134,1787375520239000213,1590165302543988
347,2048,192.168.70.134,1787375520313537229,1590165377081231
348,2048,192.168.70.134,1787375520387843985,1590165451388311
349,2048,192.168.70.134,1787375520532083139,1590165595627030
350,2048,192.168.70.134,1787375520608531184,1590165672074892
351,2048,192.168.70.134,1787375520716910817,1590165780454948
352,2048,192.168.70.134,1787375520791520442,1590165855064620
353,2048,192.168.70.134,1787375520934787081,1590165998331161
354,2048,192.168.70.134,1787375521009427584,1590166072971714
355,2048,192.168.70.134,1787375521151214491,1590166214758952
356,2048,192.168.70.134,1787375521225958635,1590166289503011
357,2048,192.168.70.134,1787375521300133417,1590166363677348
358,2048,192.168.70.134,1787375521441933556,1590166505477676
359,2048,192.168.70.134,1787375521516154756,1590166579699011
360,2048,192.168.70.134,1787375521591014271,1590166654558444
361,2048,192.168.70.134,1787375521733443091,1590166796987385
362,2048,192.168.70.134,1787375521808086420,1590166871630704
363,2048,192.168.70.134,1787375521951081882,1590167014625954
364,2048,192.168.70.134,1787375522025242934,1590167088787103
365,2048,192.168.70.134,1787375522100534677,1590167164078876
366,2048,192.168.70.134,1787375522191185679,1590167254729601
367,2048,192.168.70.134,1787375522287914896,1590167351458944
368,2048,192.168.70.134,1787375522399203464,1590167462747684
369,2048,192.168.70.134,1787375522539020685,1590167602564789
370,2048,192.168.70.134,1787375522601980705,1590167665524632
371,2048,192.168.70.134,1787375522745128345,1590167808672447
372,2048,192.168.70.134,1787375522819962234,1590167883506421
373,2048,192.168.70.134,1787375522895318331,1590167958862555
374,2048,192.168.70.134,1787375523040695108,1590168104239336
375,2048,192.168.70.134,1787375523115328209,1590168178872301
376,2048,192.168.70.134,1787375523194575593,1590168258119659
377,2048,192.168.70.134,1787375523296023720,1590168359567902
378,2048,192.168.70.134,1787375523438701039,1590168502245034
379,2048,192.168.70.134,1787375523514482480,1590168578026717
380,2048,192.168.70.134,1787375523591511649,1590168655055845
381,2048,192.168.70.134,1787375523737368642,1590168800912735
382,2048,192.168.70.134,1787375523794804491,1590168858348814
383,2048,192.168.70.134,1787375523936379776,1590168999923885
384,2048,192.168.70.134,1787375524013056278,1590169076600188
385,2048,192.168.70.134,1787375524088400669,1590169151945030
386,2048,192.168.70.134,1787375524228690176,1590169292234662
387,2048,192.168.70.134,1787375524294743830,1590169358288125
388,2048,192.168.70.134,1787375524435986637,1590169499531160
389,2048,192.168.70.134,1787375524534145419,1590169597689962
390,2048,192.168.70.134,1787375524608398565,1590169671943042
391,2048,192.168.70.134,1787375524749225056,1590169812769506
392,2048,192.168.70.134,1787375524819175515,1590169882719945
393,2048,192.168.70.134,1787375524890956074,1590169954500467
394,2048,192.168.70.134,1787375525036898642,1590170100442492
395,2048,192.168.70.134,1787375525108221657,1590170171765658
396,2048,192.168.70.134,1787375525246926624,1590170310470595
397,2048,192.168.70.134,1787375525319391237,1590170382935429
398,2048,192.168.70.134,1787375525391576948,1590170455121301
399,2048,192.168.70.134,1787375525527454151,1590170590998078
400,2048,192.168.70.134,1787375525597755033,1590170661299143
401,2048,192.168.70.134,1787375525734023640,1590170797567327
402,2048,192.168.70.134,1787375525804559532,1590170868103726
403,2048,192.168.70.134,1787375525940928597,1590171004472017
404,2048,192.168.70.134,1787375526011485111,1590171075029355
405,2048,192.168.70.134,1787375526171691426,1590171235235154
406,2048,192.168.70.134,1787375526195544480,1590171259088407
407,2048,192.168.70.134,1787375526309904107,1590171373447470
408,2048,192.168.70.134,1787375526448245236,1590171511788698
409,2048,192.168.70.134,1787375526523692812,1590171587236952
410,2048,192.168.70.134,1787375526597828234,1590171661372389
411,2048,192.168.70.134,1787375526713816957,1590171777360982
412,2048,192.168.70.134,1787375526788595956,1590171852140409
413,2048,192.168.70.134,1787375526929842358,1590171993386740
414,2048,192.168.70.134,1787375527004444433,1590172067988858
415,2048,192.168.70.134,1787375527147262806,1590172210806844
416,2048,192.168.70.134,1787375527205358961,1590172268903469
417,2048,192.168.70.134,1787375527343338353,1590172406882830
418,2048,192.168.70.134,1787375527417326992,1590172480871452
419,2048,192.168.70.134,1787375527525803562,1590172589348006
420,2048,192.168.70.134,1787375527613950073,1590172677494448
421,2048,192.168.70.134,1787375527689579225,1590172753123667
422,2048,192.168.70.134,1787375527832474560,1590172896018774
423,2048,192.168.70.134,1787375527910550673,1590172974095089
424,2048,192.168.70.134,1787375527986721677,1590173050266137
425,2048,192.168.70.134,1787375528135504696,1590173199049162
426,2048,192.168.70.134,1787375528216159142,1590173279703377
427,2048,192.168.70.134,1787375528291981875,1590173355526271
428,2048,192.168.70.134,1787375528437861893,1590173501406023
429,2048,192.168.70.134,1787375528513701032,1590173577245508
430,2048,192.168.70.134,1787375528590587131,1590173654131581
431,2048,192.168.70.134,1787375528737018128,1590173800562313
432,2048,192.168.70.134,1787375528812398577,1590173875942519
433,2048,192.168.70.134,1787375528888946890,1590173952490628
434,2048,192.168.70.134,1787375529032954515,1590174096498194
435,2048,192.168.70.134,1787375529108907013,1590174172451175
436,2048,192.168.70.134,1787375529254181439,1590174317725044
437,2048,192.168.70.134,1787375529302455034,1590174365999401
438,2048,192.168.70.134,1787375529446312916,1590174509856981
439,2048,192.168.70.134,1787375529520826354,1590174584370483
440,2048,192.168.70.134,1787375529593262659,1590174656806191
441,2048,192.168.70.134,1787375529719454429,1590174782998588
442,2048,192.168.70.134,1787375529788979417,1590174852522540
443,2048,192.168.70.134,1787375529899617631,1590174963161674
444,2048,192.168.70.134,1787375530047256552,1590175110800655
445,2048,192.168.70.134,1787375530124406134,1590175187950271
446,2048,192.168.70.134,1787375530198867081,1590175262410976
447,2048,192.168.70.134,1787375530336107877,1590175399651960
448,2048,192.168.70.134,1787375530406977793,1590175470522024
449,2048,192.168.70.134,1787375530538946731,1590175602490789
450,2048,192.168.70.134,1787375530605378659,1590175668922965
451,2048,192.168.70.134,1787375530734294843,1590175797839086
