1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367989533968676,1582634597514306,20:06:29.533746,13,64,2,64,8,500,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,437,-1
1787367989562446934,1582634625992381,20:06:29.562185,13,68,11,68,17,501,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989565513052,1582634629058095,20:06:29.565347,13,69,1,69,7,501,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989568695990,1582634632241083,20:06:29.568616,13,69,11,69,17,501,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989569772865,1582634633317877,20:06:29.569070,13,69,12,69,18,501,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989569783561,1582634633328480,20:06:29.569377,13,69,13,69,19,501,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367989571934059,1582634635479122,20:06:29.571858,13,70,1,70,7,501,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989572994512,1582634636539481,20:06:29.572372,13,70,2,70,8,501,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989572997638,1582634636542552,20:06:29.572772,13,70,3,70,9,501,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989638772850,1582634702318906,20:06:29.636830,13,80,2,80,8,501,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,437,-1
1787367989666937107,1582634730483114,20:06:29.666022,13,84,11,84,17,501,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989670062982,1582634733608109,20:06:29.669303,13,85,1,85,7,501,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989673506135,1582634737052225,20:06:29.672581,13,85,11,85,17,501,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989673539745,1582634737084714,20:06:29.672898,13,85,12,85,18,501,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989674307028,1582634737852246,20:06:29.673274,13,85,13,85,19,501,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367989676586965,1582634740132325,20:06:29.676315,13,86,1,86,7,502,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989676594419,1582634740139335,20:06:29.676386,13,86,2,86,8,502,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989677718453,1582634741263419,20:06:29.676545,13,86,3,86,9,502,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989743008290,1582634806553885,20:06:29.742724,13,96,2,96,8,502,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,437,-1
1787367989762972040,1582634826517383,20:06:29.762323,13,99,1,99,7,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989766113747,1582634829658850,20:06:29.765623,13,99,11,99,17,502,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989769327796,1582634832872881,20:06:29.768802,13,100,1,100,7,502,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989769335339,1582634832880346,20:06:29.769152,13,100,2,100,8,502,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989770382821,1582634833927919,20:06:29.769510,13,100,3,100,9,502,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989772993349,1582634836538593,20:06:29.772235,13,100,11,100,17,502,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989773534647,1582634837079653,20:06:29.772577,13,100,12,100,18,502,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989773538686,1582634837083599,20:06:29.773003,13,100,13,100,19,502,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989836670660,1582634900216009,20:06:29.835945,13,110,2,110,8,502,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367989863310050,1582634926855383,20:06:29.862212,13,114,1,114,7,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989866528222,1582634930073289,20:06:29.865448,13,114,11,114,17,502,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989869730382,1582634933275421,20:06:29.868666,13,115,1,115,7,502,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989869808520,1582634933353497,20:06:29.869001,13,115,2,115,8,502,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989869811055,1582634933355973,20:06:29.869360,13,115,3,115,9,502,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989872971006,1582634936516034,20:06:29.872029,13,115,11,115,17,503,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
