scope,fixed_factor,fixed_value,compared_factor,item_a,item_b,metric,q0,q1,delta_at_q0,delta_at_q1,interval_role
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_recall,0.3,0.5,-0.0031880977683315104,0.002125398512221044,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_recall,0.5,0.7,0.002125398512221044,-0.002125398512221044,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_recall,0.7,0.9,-0.002125398512221044,0.0,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_recall,0.9,0.98,0.0,-0.0010626992561104665,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint6,fp_per_frame,0.3,0.5,0.0060422960725075026,-0.0030211480362538623,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,fp_per_frame,0.9,0.98,-0.004531722054380571,0.0022658610271901747,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint4,veh_precision,0.3,0.5,-0.0005630060970908124,0.0018954782301510154,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,veh_precision,0.7,0.9,0.0027516222109598143,-0.0006922773319300024,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint4,veh_precision,0.9,0.98,-0.0006922773319300024,0.0020041824069077507,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint4,veh_recall,0.3,0.5,0.0013315579227696217,-0.0046604527296938425,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,veh_recall,0.5,0.7,-0.0046604527296938425,0.0033288948069241098,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,ped_recall,0.3,0.5,0.0010626992561105775,-0.002125398512221044,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,ped_recall,0.5,0.7,-0.002125398512221044,0.0010626992561105775,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,ped_recall,0.7,0.9,0.0010626992561105775,-0.002125398512221044,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint4,ped_recall,0.9,0.98,-0.002125398512221044,0.0,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint4,fp_per_frame,0.3,0.5,0.011329305135951762,0.0,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,fp_per_frame,0.5,0.7,0.0,0.0030211480362538623,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint4,fp_per_frame,0.9,0.98,0.0166163141993958,-0.005287009063444259,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint6,uint4,veh_precision,0.0,0.3,-0.001717912107980668,0.0009140987773552656,in_distribution
within_family_quantizer,family,ae64,quantizer,uint6,uint4,veh_precision,0.7,0.9,0.0012837305235899876,-0.001577113611758163,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint6,uint4,veh_precision,0.9,0.98,-0.001577113611758163,0.003465565929388903,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint6,uint4,veh_recall,0.3,0.5,0.003994673768308976,-0.0033288948069241098,in_distribution
within_family_quantizer,family,ae64,quantizer,uint6,uint4,veh_recall,0.5,0.7,-0.0033288948069241098,0.0026631158455392434,in_distribution
within_family_quantizer,family,ae64,quantizer,uint6,uint4,ped_recall,0.3,0.5,0.004250797024442088,-0.004250797024442088,in_distribution
within_family_quantizer,family,ae64,quantizer,uint6,uint4,ped_recall,0.5,0.7,-0.004250797024442088,0.0031880977683316214,in_distribution
within_family_quantizer,family,ae64,quantizer,uint6,uint4,ped_recall,0.7,0.9,0.0031880977683316214,-0.002125398512221044,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint6,uint4,ped_recall,0.9,0.98,-0.002125398512221044,0.0010626992561104665,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint6,uint4,fp_per_frame,0.9,0.98,0.02114803625377637,-0.007552870090634434,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint6,veh_precision,0.5,0.7,-0.00018198197965979546,0.0012150994253166125,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,veh_precision,0.9,0.98,0.00047644927536233395,-0.0007257112795210907,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint6,veh_recall,0.9,0.98,-0.0006657789613848664,0.0,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint6,ped_precision,0.0,0.3,0.0018333574564577404,-0.0014440595930282907,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,ped_precision,0.3,0.5,-0.0014440595930282907,0.0008096171627725024,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,ped_precision,0.7,0.9,0.0007859042307117869,-0.002194586686174116,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint6,ped_recall,0.0,0.3,-0.002125398512221044,0.0,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,ped_recall,0.3,0.5,0.0,-0.002125398512221044,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,fp_per_frame,0.0,0.3,-0.0007552870090634656,0.003776435045317328,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,fp_per_frame,0.3,0.5,0.003776435045317328,-0.0022658610271903967,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,fp_per_frame,0.9,0.98,-0.0007552870090632435,0.0083081570996979,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint6,xy_mae_m,0.3,0.5,0.0020356955674988297,-0.0042993632862368125,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,miou,0.0,0.3,-7.376961819516303e-06,0.0041585094791005695,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint6,miou,0.7,0.9,0.024176214857748235,-0.024469303721456226,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint4,veh_precision,0.3,0.5,-0.0011061894494270863,0.0012419322664298238,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint4,veh_precision,0.5,0.7,0.0012419322664298238,-0.003722512686452406,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint4,veh_precision,0.9,0.98,-0.0011749734888653052,0.0014138802221279057,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint4,veh_recall,0.3,0.5,-0.0013315579227696217,0.0006657789613848664,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint4,veh_recall,0.5,0.7,0.0006657789613848664,-0.0026631158455392434,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint4,ped_recall,0.3,0.5,-0.004250797024442088,0.0010626992561104665,in_distribution
within_family_quantizer,family,ae128,quantizer,uint8,uint4,ped_recall,0.9,0.98,0.0031880977683315104,-0.006376195536663132,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint8,uint4,miou,0.7,0.9,0.13841079740992213,-0.039886215536224234,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_precision,0.3,0.5,-0.0003706249036382614,0.0014239142460896193,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_precision,0.5,0.7,0.0014239142460896193,-0.004937612111769019,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_precision,0.9,0.98,-0.0016514227642276391,0.0021395915016489964,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_recall,0.0,0.3,0.0,0.0,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_recall,0.3,0.5,0.0,0.0013315579227696217,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_recall,0.5,0.7,0.0013315579227696217,-0.001997336884154488,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_recall,0.7,0.9,-0.001997336884154488,0.0,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,veh_recall,0.9,0.98,0.0,-0.0013315579227696217,extrapolation_reference
