run_label,run_group,window_s,elapsed_s,rows,old_mcs_p50,new_mcs_p50,new_mcs_p95,updated_rows,num_sched_p50,num_sched_p95,bler_after_p50,increase_rows,few_sample_rows,high_bler_rows,hold_rows
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,94,94.260847,541,4.0,4.0,8.0,50,1.0,60.0,0.0,10,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,95,95.828117,993,4.0,4.0,8.0,48,1.0,60.0,0.0,16,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,96,96.73315099999999,528,4.0,4.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,97,97.58725,561,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,98,98.406703,548,4.0,4.0,8.0,53,1.0,60.0,0.0,9,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,99,99.250722,552,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,100,100.402623,999,4.0,4.0,8.0,50,1.0,60.0,0.0,17,33,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,101,101.7375145,532,4.0,4.0,8.0,52,1.0,60.0,0.0,10,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,102,102.581498,549,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,103,103.40875500000001,534,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,104,104.2468495,568,4.0,4.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,105,105.724776,975,4.0,4.0,8.0,52,1.0,60.0,0.0,16,36,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,106,106.740978,546,4.0,4.0,8.0,53,1.0,60.0,0.0,10,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,107,107.57017,519,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,108,108.41298,545,4.0,4.0,8.0,53,1.0,60.0,0.0,9,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,109,109.264489,584,3.0,3.0,8.0,47,1.0,60.0,0.0,9,38,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,110,110.5134405,996,4.0,4.0,8.0,51,1.0,60.0,0.0,17,34,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,111,111.74647999999999,534,4.0,4.0,8.0,48,1.0,60.0,0.0,10,38,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,112,112.569455,550,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,113,113.409354,519,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,114,114.26576499999999,582,3.0,3.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,115,115.8269405,986,4.0,4.0,8.0,48,1.0,60.0,0.0,16,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,116,116.7265765,536,4.0,4.0,8.0,56,1.0,60.0,0.0,10,46,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,117,117.574759,557,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,118,118.4186655,560,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,119,119.24439600000001,550,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,120,120.62662350000001,1012,4.0,4.0,8.0,48,1.0,60.0,0.0,17,31,0,0
