profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status,candidate_tier,measurement_authorized,candidate_network_status
ae64__u6__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.5,mid,127276.85,3,127384.85,10.0,10.182148,10.190788,UNKNOWN_NOT_ESTIMATED,19.711695,0.51699197,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u6__q0.3__zstd3__ckpt10cebbeede4d,ae32/u6/q0.3,mid,129576.7,3,129684.7,10.0,10.366136,10.374776,UNKNOWN_NOT_ESTIMATED,19.711695,0.52632592,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,mid,135398.85,3,135506.85,10.0,10.831908,10.840548,UNKNOWN_NOT_ESTIMATED,19.711695,0.54995514,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.3,mid,157179.35,3,157287.35,10.0,12.574348,12.582988,UNKNOWN_NOT_ESTIMATED,19.711695,0.63835139,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.5,mid,165171.55,3,165279.55,10.0,13.213724,13.222364,UNKNOWN_NOT_ESTIMATED,19.711695,0.67078777,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u8__q0.3__zstd3__ckpt10cebbeede4d,ae32/u8/q0.3,mid,169829.65,3,169937.65,10.0,13.586372,13.595012,UNKNOWN_NOT_ESTIMATED,19.711695,0.68969269,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u6__q0__zstd3__ckpt10cebbeede4d,ae32/u6/q0,mid,179634.8,3,179742.8,10.0,14.370784,14.379424,UNKNOWN_NOT_ESTIMATED,19.711695,0.72948694,projected_below_capacity,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,mid,203740.85,4,203884.85,10.0,16.299268,16.310788,UNKNOWN_NOT_ESTIMATED,19.711695,0.82746755,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.3,mid,206753.65,4,206897.65,10.0,16.540292,16.551812,UNKNOWN_NOT_ESTIMATED,19.711695,0.83969501,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0__zstd3__ckptc6a2362c7c2d,ae64/u6/q0,mid,209216.95,4,209360.95,10.0,16.737356,16.748876,UNKNOWN_NOT_ESTIMATED,19.711695,0.84969233,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
