profile_id,display_profile_id,stratum_axis,stratum_value,evidence_level,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person,candidate_tier
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,density_bin,5+,frame_aggregate,135,792,394,398,685,478,107,342,296,52,343,182,55,0.86489899,0.58899398,0.70076726,0.8680203,0.53605016,0.6627907,0.86180905,0.65333333,0.7432286,3.54074074,2.19259259,1.34814815,1.08866426,1.46227748,0.89526861,1.28149606,266770.25925926,266835.0,267743.5,264159,268121,0.84816361,0.99312625,0.89816156,0.65320302,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3546,3035,353,2281,2307,187,1265,728,166,0.90946397,0.53882389,0.67671756,0.92423015,0.49716652,0.64654195,0.8839972,0.63472153,0.73890187,1.80762359,1.37403216,0.43359142,0.86816016,1.17652169,0.76581671,1.05270197,267082.13281715,267107.0,268033.1,264159,268780,0.82614819,0.99582427,0.92025924,0.56236107,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,all,ALL,frame_aggregate,2162,3899,2468,1431,3542,3044,357,2278,2303,190,1264,741,167,0.90843806,0.53780747,0.67563186,0.92301459,0.49727134,0.64633281,0.88329839,0.63042394,0.73573923,1.4079556,1.06521739,0.34273821,0.87270282,1.18345774,0.7720335,1.05413059,257817.07631822,257313.0,265042.0,250554,273674,0.75941616,0.98807844,0.74380082,0.54636922,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2115,1649,261,1155,1117,124,960,532,137,0.89015152,0.56190223,0.68892508,0.90304926,0.50836268,0.65052098,0.87511395,0.64343164,0.74159907,2.42857143,1.64506627,0.78350515,0.94103495,1.26212606,0.83116221,1.07322558,257405.82768778,257048.0,263953.4,250710,270997,0.76800312,0.98094314,0.74157778,0.58148844,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2419,1826,291,1155,1120,124,1264,706,167,0.89261993,0.56984688,0.69561467,0.90304926,0.50769231,0.64997186,0.88329839,0.64162437,0.74331079,1.97192225,1.20950324,0.76241901,0.94766987,1.26703886,0.83116221,1.05413059,257441.325054,257053.5,263888.0,250710,270997,0.77592491,0.98560558,0.73859584,0.60357331,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3238,2846,327,2278,2293,190,960,553,137,0.90827489,0.53221565,0.67115763,0.92301459,0.49835922,0.64725103,0.87511395,0.63450099,0.73563218,1.98743017,1.60125698,0.38617318,0.86133072,1.17184776,0.7720335,1.07322558,257621.16410615,257060.5,264857.6,250554,273674,0.75356848,0.98260464,0.74791222,0.53018858,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,density_bin,0,frame_aggregate,483,0,0,0,0,21,0,0,7,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04347826,0.01449275,0.02898551,,,,,258540.16977226,258489.0,265862.0,252385,271914,0.56647736,0.99857864,0.58599858,0.11485486,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1482,1404,97,1078,1162,56,404,242,41,0.93856871,0.51351351,0.66382979,0.95061728,0.48125,0.63900415,0.90786517,0.625387,0.74060495,1.28689276,1.06507791,0.22181485,0.73239897,0.97743778,0.65494302,0.93907598,257565.41613199,256954.0,264712.0,250554,271454,0.75199287,0.98875423,0.75577065,0.51145372,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,density_bin,3-4,frame_aggregate,453,1528,940,588,1376,1149,152,857,843,83,519,306,69,0.90052356,0.5449505,0.67900321,0.91170213,0.50411765,0.64924242,0.88265306,0.62909091,0.73460722,2.53642384,1.86092715,0.67549669,0.91100674,1.22149626,0.85930507,0.99637923,257865.34216336,257474.0,264343.6,251018,273674,0.74534256,0.97541201,0.7259132,0.53470247,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,density_bin,5+,frame_aggregate,135,792,394,398,684,470,108,343,291,51,341,179,57,0.86363636,0.59272097,0.70298047,0.87055838,0.54100946,0.66731518,0.85678392,0.65576923,0.74291939,3.48148148,2.15555556,1.32592593,1.09963865,1.47685938,0.92198044,1.27833885,257101.83703704,256632.0,264310.0,250710,269397,0.80770923,0.98504316,0.78514496,0.65293958,NORMAL
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3542,3023,357,2278,2296,190,1264,727,167,0.90843806,0.5395278,0.67698777,0.92301459,0.49803236,0.64697529,0.88329839,0.63485686,0.73874927,1.80047647,1.36748064,0.43299583,0.87270282,1.18345774,0.7720335,1.05413059,257609.06313282,257062.0,264680.6,250554,273674,0.76435258,0.9849304,0.74635016,0.56177719,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,all,ALL,frame_aggregate,2162,3899,2468,1431,3541,3061,358,2278,2318,190,1263,743,168,0.90818159,0.53635262,0.67441196,0.92301459,0.49564839,0.64496036,0.88259958,0.62961117,0.73494326,1.41581869,1.07215541,0.34366327,0.87096511,1.18081654,0.7697036,1.05360464,349153.81174838,349095.0,350948.6,346203,357915,0.8191418,0.99646396,0.91383302,0.54712842,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2114,1663,262,1155,1129,124,959,534,138,0.88973064,0.55970347,0.68714448,0.90304926,0.50569177,0.64833006,0.87420237,0.64233088,0.74054054,2.44918999,1.66273932,0.78645066,0.93872429,1.26004512,0.82790074,1.0721979,348933.26656848,348887.0,350659.8,346233,357915,0.83305745,0.99490167,0.9225174,0.58175327,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2418,1840,292,1155,1132,124,1263,708,168,0.89225092,0.56787224,0.69402985,0.90304926,0.50502842,0.64778463,0.88259958,0.64079148,0.74250441,1.98704104,1.2224622,0.76457883,0.94579323,1.26512541,0.82790074,1.05360464,349001.83585313,348955.5,350706.5,346233,357915,0.83812638,0.99570713,0.9146058,0.60406622,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3237,2863,328,2278,2308,190,959,555,138,0.90799439,0.53065574,0.66983963,0.92301459,0.49672918,0.64587468,0.87420237,0.6334214,0.73458445,1.99930168,1.61173184,0.38756983,0.85932116,1.1690095,0.7697036,1.0721979,348953.26885475,348885.0,350679.9,346203,357915,0.81679799,0.99546604,0.92426673,0.53066119,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,density_bin,0,frame_aggregate,483,0,0,0,0,21,0,0,7,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04347826,0.01449275,0.02898551,,,,,349729.70600414,349755.0,351321.2,347086,352139,0.56605712,0.99859368,0.5875093,0.11206838,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1482,1407,97,1078,1165,56,404,242,41,0.93856871,0.51298027,0.66338406,0.95061728,0.48060633,0.63843648,0.90786517,0.625387,0.74060495,1.28964253,1.06782768,0.22181485,0.73135559,0.97346711,0.65300288,0.94042543,349044.07332722,348999.0,350757.0,346203,357915,0.80872648,0.99661748,0.91697423,0.51258774,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,density_bin,3-4,frame_aggregate,453,1528,940,588,1377,1158,151,859,850,81,518,308,70,0.90117801,0.54319527,0.67782427,0.91382979,0.50263312,0.64854662,0.88095238,0.62711864,0.73267327,2.55629139,1.87637969,0.6799117,0.91446592,1.23053023,0.86654232,0.99393768,348887.84988962,348849.0,350662.2,346339,352650,0.81999746,0.99467207,0.93011343,0.53520688,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,density_bin,5+,frame_aggregate,135,792,394,398,682,475,110,341,296,53,341,179,57,0.86111111,0.58945549,0.69984607,0.86548223,0.53532182,0.6614937,0.85678392,0.65576923,0.74291939,3.51851852,2.19259259,1.32592593,1.08650866,1.4570361,0.89468573,1.27833159,348872.68888889,348887.0,350438.2,346233,350848,0.8481596,0.99312885,0.8981928,0.65315715,NORMAL
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3541,3040,358,2278,2311,190,1263,729,168,0.90818159,0.53806412,0.67576336,0.92301459,0.49640445,0.64560011,0.88259958,0.63403614,0.73794917,1.81060155,1.37641453,0.43418702,0.87096511,1.18081654,0.7697036,1.05360464,348988.14353782,348931.0,350702.6,346203,357915,0.82617673,0.99582541,0.9202831,0.56242168,NORMAL
