1787365427481165545,1580072544716957,connecting to 127.0.0.1:2031
1787365427481215789,1580072544760788,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787365427481218800,1580072544763733,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787365429751937952,1580074815483062,19:23:49.750966,44027,206,19,505,61,1,8197,0,85,28,860
1787365429811024631,1580074874570089,19:23:49.810921,44027,216,8,510,61,0,437,0,5,28,860
1787365429842864247,1580074906409797,19:23:49.842031,44027,221,7,510,48,0,106,0,5,28,890
1787365429848929196,1580074912474494,19:23:49.848254,44027,221,17,505,48,0,106,0,5,28,860
1787365429852118875,1580074915664038,19:23:49.851315,44027,222,7,500,48,0,2178,0,106,28,860
1787365429853590965,1580074917136086,19:23:49.852242,44027,222,8,505,61,0,10247,0,106,28,860
1787365429853599282,1580074917144241,19:23:49.852550,44027,222,9,505,61,0,8197,0,85,28,860
1787365429855492558,1580074919037572,19:23:49.855161,44027,222,17,500,61,0,2178,0,106,28,860
1787365429856415692,1580074919960630,19:23:49.855793,44027,222,18,505,61,1,10247,0,106,28,860
1787365429856418823,1580074919963745,19:23:49.856129,44027,222,19,505,61,1,8197,0,85,28,860
1787365429927033746,1580074990579657,19:23:49.926309,44027,232,8,510,61,0,437,0,5,28,860
1787365429942630118,1580075006175424,19:23:49.942044,44027,234,17,505,48,0,106,0,5,28,860
1787365429945884753,1580075009429713,19:23:49.945346,44027,235,7,510,48,0,106,0,5,28,890
1787365429949154124,1580075012699316,19:23:49.948467,44027,235,17,500,48,0,2178,0,106,28,860
1787365429950228244,1580075013773443,19:23:49.949218,44027,235,18,505,61,0,10247,0,106,28,860
1787365429950267758,1580075013812705,19:23:49.949731,44027,235,19,505,61,0,8197,0,85,28,860
1787365429952420943,1580075015966041,19:23:49.951916,44027,236,7,500,61,0,2178,0,106,28,860
1787365429953515071,1580075017060058,19:23:49.952380,44027,236,8,505,61,1,10247,0,106,28,860
1787365429953529107,1580075017074051,19:23:49.952737,44027,236,9,505,61,1,8197,0,85,28,860
1787365430017769127,1580075081315265,19:23:50.016697,44027,246,8,510,61,0,480,0,5,28,860
1787365430042911404,1580075106456884,19:23:50.041743,44027,250,7,510,48,0,106,0,5,28,860
1787365430045673103,1580075109218090,19:23:50.044929,44027,250,17,505,48,0,106,0,5,28,860
1787365430049229411,1580075112774429,19:23:50.048172,44027,251,7,500,48,0,2178,0,106,28,860
1787365430049766882,1580075113311840,19:23:50.048687,44027,251,8,505,61,0,10247,0,106,28,860
1787365430049820530,1580075113365469,19:23:50.048973,44027,251,9,505,61,0,8197,0,85,28,860
1787365430052119741,1580075115664861,19:23:50.051342,44027,251,17,500,61,0,2178,0,106,28,860
1787365430052125101,1580075115670019,19:23:50.051849,44027,251,18,505,61,0,10247,0,106,28,860
1787365430053162589,1580075116707555,19:23:50.052319,44027,251,19,505,61,1,8197,0,85,28,860
1787365430113478297,1580075177024157,19:23:50.112318,44027,261,8,510,61,0,480,0,5,28,860
1787365430141089790,1580075204635263,19:23:50.140283,44027,265,17,510,48,0,106,0,5,28,890
1787365430144091113,1580075207636251,19:23:50.143734,44027,266,7,505,48,0,106,0,5,28,860
1787365430147161365,1580075210706401,19:23:50.146795,44027,266,17,500,48,0,2178,0,106,28,860
1787365430148270678,1580075211815994,19:23:50.147447,44027,266,18,505,61,0,10247,0,106,28,860
1787365430148287353,1580075211832343,19:23:50.147681,44027,266,19,505,61,0,8197,0,85,28,860
1787365430150420426,1580075213965517,19:23:50.150117,44027,267,7,500,61,0,2178,0,106,28,860
1787365430151531350,1580075215076281,19:23:50.150536,44027,267,8,505,61,1,10247,0,106,28,860
1787365430151535422,1580075215080342,19:23:50.150833,44027,267,9,505,61,1,8197,0,85,28,860
1787365430215228905,1580075278774520,19:23:50.214163,44027,277,8,510,61,0,480,0,5,28,860
1787365430239665108,1580075303210365,19:23:50.239324,44027,281,7,505,48,0,106,0,5,28,860
1787365430243598643,1580075307143618,19:23:50.242553,44027,281,17,505,48,0,106,0,5,28,860
1787365430247607316,1580075311152569,19:23:50.245874,44027,282,7,500,48,0,2178,0,106,28,860
1787365430247627078,1580075311172163,19:23:50.246398,44027,282,8,505,61,0,10247,0,106,28,860
1787365430247633279,1580075311178382,19:23:50.246659,44027,282,9,505,61,0,8197,0,85,28,860
1787365430250015268,1580075313560203,19:23:50.249366,44027,282,17,500,61,0,2178,0,106,28,860
1787365430250019581,1580075313564499,19:23:50.249650,44027,282,18,505,61,1,10247,0,106,28,860
1787365430250024303,1580075313569225,19:23:50.249899,44027,282,19,505,61,1,8197,0,85,28,860
1787365430311134865,1580075374680503,19:23:50.310408,44027,292,8,510,61,0,480,0,5,28,860
1787365430342692827,1580075406238008,19:23:50.341994,44027,297,7,510,48,0,106,0,5,28,860
1787365430345864384,1580075409409377,19:23:50.344993,44027,297,17,505,48,0,106,0,5,28,860
1787365430349110397,1580075412655343,19:23:50.348419,44027,298,7,500,48,0,2178,0,106,28,860
1787365430349136795,1580075412681716,19:23:50.348772,44027,298,8,505,61,0,10247,0,106,28,860
1787365430349148660,1580075412693579,19:23:50.349041,44027,298,9,505,61,0,8197,0,85,28,860
1787365430352399750,1580075415945243,19:23:50.351402,44027,298,17,500,61,0,2178,0,106,28,860
1787365430352415445,1580075415960426,19:23:50.351987,44027,298,18,505,61,1,10247,0,106,28,860
1787365430352417613,1580075415962536,19:23:50.352252,44027,298,19,505,61,1,8197,0,85,28,860
1787365430413435980,1580075476981391,19:23:50.412463,44027,308,8,510,61,0,480,0,5,28,860
1787365430441827184,1580075505373031,19:23:50.440841,44027,312,17,510,48,0,106,0,5,28,890
1787365430443931510,1580075507476668,19:23:50.443768,44027,313,7,505,48,0,106,0,5,28,860
1787365430448229880,1580075511775075,19:23:50.447109,44027,313,17,500,48,0,2178,0,106,28,860
1787365430448238778,1580075511783723,19:23:50.447585,44027,313,18,505,61,0,10247,0,106,28,860
1787365430448289215,1580075511834280,19:23:50.447961,44027,313,19,505,61,0,8197,0,85,28,860
1787365430451387871,1580075514932905,19:23:50.450359,44027,314,7,500,61,0,2178,0,106,28,860
1787365430451416218,1580075514961223,19:23:50.450799,44027,314,8,505,61,1,10247,0,106,28,860
1787365430451418142,1580075514963074,19:23:50.451126,44027,314,9,505,61,1,8197,0,85,28,860
1787365430516011707,1580075579557844,19:23:50.515176,44027,324,8,510,61,0,480,0,5,28,860
1787365430542017299,1580075605563270,19:23:50.541122,44027,328,7,510,48,0,106,0,5,28,890
1787365430545249167,1580075608794264,19:23:50.544140,44027,328,17,510,48,0,106,0,5,28,890
1787365430548508544,1580075612053602,19:23:50.547537,44027,329,7,500,48,0,2178,0,106,28,860
1787365430548515569,1580075612060507,19:23:50.547899,44027,329,8,505,61,0,10247,0,106,28,860
1787365430548517026,1580075612061941,19:23:50.548139,44027,329,9,505,61,0,8197,0,85,28,860
1787365430551581185,1580075615126168,19:23:50.550618,44027,329,17,500,61,0,2178,0,106,28,860
1787365430551584691,1580075615129646,19:23:50.551123,44027,329,18,505,61,1,10247,0,106,28,860
1787365430552611036,1580075616156056,19:23:50.551530,44027,329,19,505,61,1,8197,0,85,28,860
1787365430612625267,1580075676171525,19:23:50.612418,44027,339,8,510,61,0,480,0,5,28,860
1787365430641162912,1580075704708323,19:23:50.640917,44027,343,17,510,48,0,106,0,5,28,890
1787365430644326280,1580075707871284,19:23:50.644082,44027,344,7,510,48,0,106,0,5,28,890
1787365430647772139,1580075711317140,19:23:50.647208,44027,344,17,500,48,0,2178,0,106,28,860
1787365430648608003,1580075712153298,19:23:50.647738,44027,344,18,505,61,0,10247,0,106,28,860
1787365430648639227,1580075712184240,19:23:50.648045,44027,344,19,505,61,0,8197,0,85,28,860
1787365430650947228,1580075714492207,19:23:50.650500,44027,345,7,500,61,0,2178,0,106,28,860
1787365430651805336,1580075715350312,19:23:50.650964,44027,345,8,505,61,0,10247,0,106,28,860
1787365430651810304,1580075715355222,19:23:50.651268,44027,345,9,505,61,1,8197,0,85,28,860
1787365430716205902,1580075779752111,19:23:50.715236,44027,355,8,510,61,0,480,0,5,28,860
1787365430741299981,1580075804845436,19:23:50.740398,44027,359,7,505,48,0,106,0,5,28,860
1787365430744502559,1580075808047703,19:23:50.743665,44027,359,17,510,48,0,106,0,5,28,890
1787365430747736898,1580075811282784,19:23:50.746883,44027,360,7,500,48,0,2178,0,106,28,860
1787365430747752973,1580075811297932,19:23:50.747383,44027,360,8,510,61,0,9222,0,106,28,860
1787365430748790707,1580075812336127,19:23:50.747705,44027,360,9,505,61,0,9222,0,95,28,860
1787365430750894015,1580075814439083,19:23:50.750096,44027,360,17,500,61,0,2178,0,106,28,860
1787365430750900290,1580075814445210,19:23:50.750500,44027,360,18,505,61,1,10247,0,106,28,860
1787365430752035949,1580075815580965,19:23:50.750855,44027,360,19,505,61,1,8197,0,85,28,860
1787365430810998014,1580075874543957,19:23:50.810468,44027,370,8,510,61,0,480,0,5,28,860
1787365430841696613,1580075905242366,19:23:50.840533,44027,375,7,505,48,0,106,0,5,28,860
1787365430844954338,1580075908500016,19:23:50.843825,44027,375,17,510,48,0,106,0,5,28,860
1787365430847817739,1580075911363420,19:23:50.846857,44027,376,7,500,48,0,2178,0,106,28,860
1787365430847842614,1580075911387764,19:23:50.847302,44027,376,8,510,61,0,9222,0,106,28,860
1787365430847918631,1580075911463804,19:23:50.847703,44027,376,9,505,61,0,9222,0,95,28,860
1787365430851021494,1580075914566624,19:23:50.850108,44027,376,17,500,61,0,2178,0,106,28,860
1787365430851070476,1580075914616746,19:23:50.850485,44027,376,18,505,61,1,10247,0,106,28,860
1787365430851085471,1580075914630480,19:23:50.850851,44027,376,19,505,61,1,8197,0,85,28,860
1787365430909485721,1580075973032076,19:23:50.908569,44027,386,8,510,61,0,480,0,5,28,860
1787365430941902538,1580076005448629,19:23:50.941482,44027,391,17,510,48,0,106,0,5,28,890
1787365430944954225,1580076008499476,19:23:50.944422,44027,392,7,510,48,0,106,0,5,28,890
1787365430948432830,1580076011978048,19:23:50.947662,44027,392,17,500,48,0,2178,0,106,28,860
1787365430949390249,1580076012935434,19:23:50.948348,44027,392,18,505,61,0,10247,0,106,28,860
1787365430949399546,1580076012944539,19:23:50.948575,44027,392,19,505,61,0,8197,0,85,28,860
1787365430952285861,1580076015831072,19:23:50.950734,44027,393,7,500,61,0,2178,0,106,28,860
1787365430952295323,1580076015840258,19:23:50.951160,44027,393,8,505,61,1,10247,0,106,28,860
1787365430953483603,1580076017028705,19:23:50.951510,44027,393,9,505,61,1,8197,0,85,28,860
1787365431013113886,1580076076660099,19:23:51.012513,44027,403,8,510,61,0,480,0,5,28,860
1787365431041030396,1580076104576264,19:23:51.040178,44027,407,17,510,48,0,106,0,5,28,890
1787365431044057643,1580076107602591,19:23:51.042960,44027,408,7,505,48,0,106,0,5,28,860
1787365431047133229,1580076110678259,19:23:51.046169,44027,408,17,500,48,0,2178,0,106,28,860
1787365431047141053,1580076110685979,19:23:51.046511,44027,408,18,505,61,0,10247,0,106,28,860
1787365431047173847,1580076110718768,19:23:51.046864,44027,408,19,505,61,0,8197,0,85,28,860
1787365431050346972,1580076113891894,19:23:51.049250,44027,409,7,500,61,0,2178,0,106,28,860
1787365431050351745,1580076113896664,19:23:51.049746,44027,409,8,505,61,1,10247,0,106,28,860
1787365431050353934,1580076113898871,19:23:51.050044,44027,409,9,505,61,1,8197,0,85,28,860
1787365431111483828,1580076175029286,19:23:51.110306,44027,419,8,510,61,0,480,0,5,28,860
1787365431141020142,1580076204565083,19:23:51.140416,44027,424,7,505,48,0,106,0,5,28,860
1787365431144294401,1580076207839365,19:23:51.143682,44027,424,17,510,48,0,106,0,5,28,890
1787365431147294294,1580076210839537,19:23:51.146660,44027,425,7,500,48,0,2178,0,106,28,860
1787365431147299942,1580076210844879,19:23:51.147183,44027,425,8,505,61,0,10247,0,106,28,860
1787365431148336891,1580076211881874,19:23:51.147510,44027,425,9,505,61,0,8197,0,85,28,860
1787365431150498309,1580076214043241,19:23:51.149802,44027,425,17,500,61,0,2178,0,106,28,860
1787365431150519822,1580076214064742,19:23:51.150274,44027,425,18,505,61,1,10247,0,106,28,860
1787365431151507113,1580076215052050,19:23:51.150663,44027,425,19,505,61,1,8197,0,85,28,860
