spawn_index,x,y,z,yaw
111,-45.3174,-11.6453,0.6,-90.1612
112,102.5662,43.9657,0.6,90.3907
113,-9.176,140.7099,0.6,0.3521
114,29.2357,16.7652,0.6,-179.8408
115,-41.8339,-16.5552,0.6,-90.1612
116,-48.6744,46.9553,0.6,89.8388
117,80.2655,16.907,0.6,-179.8408
118,27.1423,66.2833,0.6,-179.9267
119,57.4036,28.3435,0.6,0.1592
120,-103.2161,-2.2084,0.6,-89.3578
121,-64.5819,-65.1674,0.6,-179.4032
122,-48.5655,85.6451,0.6,89.8388
123,-13.3394,-61.0501,0.6,0.5967
124,-27.0221,69.714,0.6,0.0733
125,-114.2328,43.821,0.6,90.6422
126,-52.1336,-40.1803,0.6,90.4323
127,102.9802,-22.7058,0.6,90.8448
128,32.3377,130.4601,0.6,-179.6795
129,-41.4915,111.9453,0.6,-90.1612
130,-44.983,114.9551,0.6,-90.1612
131,109.9135,-6.9254,0.6,-89.6093
132,106.3773,-1.6494,0.6,-89.6093
133,102.3177,80.4147,0.6,90.3907
134,32.0454,13.273,0.6,-179.8408
135,-48.6427,-43.3539,0.6,90.4323
136,85.9822,66.3585,0.6,-179.9267
137,-45.1497,55.7154,0.6,-90.1612
138,-52.3308,-28.8613,0.6,90.4323
139,-48.84,-32.0349,0.6,90.4323
140,-41.7499,-41.3737,0.6,-89.5677
141,-45.2359,-36.5001,0.6,-89.5677
142,102.93,-9.3815,0.6,90.3907
143,26.3826,-57.4014,0.6,-0.0234
144,22.8812,-60.9,0.6,-0.0234
145,-15.4483,-68.0071,0.6,-179.4032
146,-18.7827,-64.7081,0.9,-179.4032
147,29.894,-64.3988,0.6,179.9766
148,32.9926,-67.9,0.6,179.9766
149,47.557,-57.2252,0.6,-0.0234
150,44.0556,-60.7238,0.6,-0.0234
151,54.4698,-64.3486,0.6,179.9766
152,57.5683,-67.8499,0.6,179.9766
153,-2.647,-68.0497,0.6,-179.4032
154,106.4163,-12.7119,0.6,-89.6093
