model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,184990,1,1,0,0,1,0,0,0,0,0,0.9814307230323049,0.9632062641117128,0.9814307230323049,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,102802,1,1,0,0,1,0,0,0,0,0,0.5457574741536781,0.2978512205946027,0.5457574741536781,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,44119,1,1,0,0,1,0,0,0,0,0,0.7399318298255733,0.5474991127890211,0.7399318298255733,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,1065472,2,1,1,0,1,1,0,0,0,0,1.3721738263982062,1.8828610098522944,1.3721738263982062,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,772060,2,1,1,0,1,1,0,0,0,0,0.06972742695696228,0.004861914070038511,0.06972742695696228,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,607964,1,1,0,0,1,0,0,0,0,0,2.3800312249136835,5.664548631564129,2.3800312249136835,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,421685,1,1,0,0,1,0,0,0,0,0,2.3715749416769416,5.624367703989989,2.3715749416769416,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,188702,2,1,1,0,1,1,0,0,0,0,0.32076435960662986,0.10288977439385136,0.32076435960662986,0.0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,65960,3,1,2,0,1,2,0,0,0,0,3.474816549715543,12.07435005417703,3.474816549715543,0.0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,793509,2,1,1,0,1,1,0,0,0,0,0.7519167525669909,0.5653788027908894,0.7519167525669909,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,573318,2,1,1,0,1,1,0,0,0,0,1.2006988258823,1.4416776704751335,1.2006988258823,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,456305,2,1,1,0,1,1,0,0,0,0,0.5462309450674514,0.29836824534928114,0.5462309450674514,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,328393,2,1,1,0,1,1,0,0,0,0,1.2012330073028814,1.4429607378339244,1.2012330073028814,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,158289,2,1,1,0,1,1,0,0,0,0,0.5314366686965096,0.2824249328352437,0.5314366686965096,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,62656,3,1,2,0,1,2,0,0,0,0,3.389418177307724,11.488155580664015,3.389418177307724,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,392550,1,1,0,0,1,0,0,0,0,0,1.8122303515482454,3.284178847072677,1.8122303515482454,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,290015,2,1,1,0,1,1,0,0,0,0,0.18977600954976054,0.036014933800630804,0.18977600954976054,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,240117,2,1,1,0,1,1,0,0,0,0,0.3564028948991574,0.12702302349249983,0.3564028948991574,0.0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,188556,2,1,1,0,1,1,0,0,0,0,0.7043887141837133,0.49616346066938494,0.7043887141837133,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,98815,2,1,1,0,1,1,0,0,0,0,0.3203946710765997,0.1026527452542825,0.3203946710765997,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,44758,3,1,2,0,1,2,0,0,0,0,3.672129744098317,13.484536857491571,3.672129744098317,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,1069987,4,2,2,1,2,2,1,0,0,0,2.6092786003977304,5.151777647886083,2.6092786003977304,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,770581,5,3,2,0,3,2,0,0,0,0,3.49449975710733,5.914976338763488,3.49449975710733,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,599206,5,2,3,1,2,3,1,0,0,0,4.150619755895027,8.631781575605258,4.150619755895027,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,412413,6,3,3,0,3,3,0,0,0,0,5.009661391701063,9.346589281827839,5.009661391701063,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,182419,6,2,4,1,2,4,1,0,0,0,1.6036435230919652,1.327358126380227,1.6036435230919652,0.0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,61458,5,3,2,0,3,2,0,0,0,0,4.9130373953781845,8.124062596177122,4.9130373953781845,0.0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,800915,5,3,2,0,3,2,0,0,0,0,3.7821790835568163,6.022705416838265,3.7821790835568163,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,575119,4,2,2,1,2,2,1,0,0,0,2.6210439379787727,4.906855799105041,2.6210439379787727,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,450379,5,2,3,1,2,3,1,0,0,0,4.401133419755531,9.705729492088626,4.401133419755531,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,321432,5,2,3,1,2,3,1,0,0,0,4.461534528586334,9.971261179828051,4.461534528586334,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,152034,6,2,4,1,2,4,1,0,0,0,2.7103802863133746,5.293435570619476,2.7103802863133746,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,57189,5,3,2,0,3,2,0,0,0,0,5.014169963261581,8.566690766844264,5.014169963261581,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,397962,5,2,3,1,2,3,1,0,0,0,2.733777354642897,3.909793461948415,2.733777354642897,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,292934,5,2,3,1,2,3,1,0,0,0,2.4586741176840987,3.168846413486544,2.4586741176840987,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,235609,6,2,4,1,2,4,1,0,0,0,1.3980490095524658,1.0462726587933706,1.3980490095524658,0.0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,183782,6,2,4,1,2,4,1,0,0,0,1.4882723975395424,1.47021201553173,1.4882723975395424,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,96093,6,2,4,1,2,4,1,0,0,0,1.5477654718803082,1.9699945633501212,1.5477654718803082,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,3,3,0,42459,7,3,4,0,3,4,0,0,0,0,4.218394874047372,7.171814837826016,4.218394874047372,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,1070187,5,3,2,0,3,2,0,0,0,0,3.9636557595471853,6.952533925241375,3.9636557595471853,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,770178,5,3,2,0,3,2,0,0,0,0,3.9530423062249946,6.904795492605494,3.9530423062249946,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,599946,5,3,2,0,3,2,0,0,0,0,5.147027761355863,13.071401361929198,5.147027761355863,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,414667,5,3,2,0,3,2,0,0,0,0,5.123247487940371,13.008232742505612,5.123247487940371,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,187779,2,2,0,1,2,0,1,0,0,0,4.1938225842257895,11.477696929293908,4.1938225842257895,0.0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,3,3,0,60772,4,3,1,0,3,1,0,0,0,0,3.363393116092995,6.90524841633785,3.363393116092995,0.0
