seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
148,1665101260778246,1787450456197233650,1,1,1665101284505660,1,23.7274
149,1665101360967860,1787450456297423591,1,1,1665101382888197,1,21.9203
150,1665101460776078,1787450456397231550,1,1,1665101483274152,1,22.4981
151,1665101560776082,1787450456497231588,1,1,1665101585560583,1,24.7845
152,1665101660784856,1787450456597240667,1,1,1665101678980473,1,18.1956
153,1665101760792025,1787450456697247968,1,1,1665101779104769,1,18.3127
154,1665101860794455,1787450456797250134,1,1,1665101881077883,1,20.2834
155,1665101960793031,1787450456897248535,1,1,1665101979744073,1,18.9510
156,1665102060791626,1787450456997247673,1,1,1665102080385499,1,19.5939
157,1665102161084058,1787450457097539716,1,1,1665102173882407,1,12.7983
158,1665102260898621,1787450457197354731,1,1,1665102287169779,1,26.2712
159,1665102360862443,1787450457297318158,1,1,1665102384994803,1,24.1324
160,1665102460786045,1787450457397242784,1,1,1665102487348657,1,26.5626
161,1665102560877027,1787450457497332737,1,1,1665102626483837,1,65.6068
162,1665102660896116,1787450457597351926,1,1,1665102688134560,1,27.2384
163,1665102760901616,1787450457697357590,1,1,1665102783614451,1,22.7128
164,1665102860796712,1787450457797252511,1,1,1665102883671487,1,22.8748
165,1665102960963748,1787450457897419282,1,1,1665102987272845,1,26.3091
166,1665103060792474,1787450457997248504,1,1,1665103084339685,1,23.5472
167,1665103160783674,1787450458097239244,1,1,1665103185172845,1,24.3892
168,1665103260780976,1787450458197236482,1,1,1665103285175662,1,24.3947
169,1665103360867208,1787450458297322993,1,1,1665103384779459,1,23.9123
170,1665103460880553,1787450458397336247,1,1,1665103486850678,1,25.9701
171,1665103560776528,1787450458497232536,1,1,1665103583412668,1,22.6361
172,1665103660943334,1787450458597398946,1,1,1665103753669786,1,92.7265
173,1665103760776961,1787450458697232469,1,1,1665103792790156,1,32.0132
174,1665103860777936,1787450458797233506,1,1,1665103893752345,1,32.9744
175,1665103960869915,1787450458897325433,1,1,1665103987111694,1,26.2418
176,1665104060784508,1787450458997240108,1,1,1665104086024213,1,25.2397
